   -402     -67    7194      195     300   -4302       80     282     185
   -482     -61    7144      134     193   -4274     -146     201     134
   -482     -61    7144      164     160   -4225     -180     155     137
   -482     -61    7144       36      54   -4195     -329     209      88
   -482     -61    7144      -78    -152   -4047     -279    -249      20
   -569    -165    7228      -21    -112   -3956     -272    -136     -78
   -569    -165    7228     -148    -452   -4108      -86    -112     110
   -569    -165    7228      -81    -328   -3986      231    -293     167
   -569    -165    7228      145     -75   -3990      421    -303     212
   -500    -131    7220      131     -32   -4086      520    -184     403
   -500    -131    7220      274     218   -4095      530    -362     278
   -500    -131    7220      352     287   -4100      376    -338     263
   -500    -131    7220      484     440   -4177      290    -168     454
   -319      55    7144      414     278   -4349        2     -44     362
   -319      55    7144      252     156   -4379     -136     -16     424
   -319      55    7144      336     300   -4072     -367    -144     252
   -319      55    7144      368     320   -3671     -499     -80     563
   -259       4    7198      163       2   -3835     -982    -172     221
   -259       4    7198     -178    -970   -4403    -1123       4     441
   -259       4    7198     -324   -1210   -4313    -1126    -422     -86
   -259       4    7198      -97   -1063   -4085     -579    -470     -85
   -184    -327    7407      -10    -854   -3913      186     113     565
   -184    -327    7407      -12    -434   -3787      652     105     496
   -184    -327    7407      175      15   -3541      769    -284     -84
   -184    -327    7407      346     182   -3735     1020    -152     -95
   -113    -163    7326       77      33   -4120      772      -9      11
   -113    -163    7326      -20      14   -4422      721    -102    -131
   -113    -163    7326       35     151   -4406      660     -18     -61
   -113    -163    7326       25     209   -4318      498      58     -60
   -210     119    7285     -115    -549     681      294     388     167
   -210     119    7285    -3362   -6503   -2429     1474    -111    -326
   -210     119    7285    -1570   -1614   -4502     1454   -4533   -1856
   -210     119    7285     2079     751   -6557     1552   -3784   -1804
    521     399    6886     2033    1723   -4631      789    -159    1101
    521     399    6886     1051     545   -5834     -546    -246    -181
    521     399    6886      706      16   -5997     -806     398    -194
    521     399    6886      757     287   -4731    -1226     814    -557
    583     302    6947      365      -3   -4443    -1778    1405    -474
    583     302    6947     -430    -750   -4138    -1517    1534    -319
    583     302    6947    -2771   -3633   -2604    -1050     927   -1034
    583     302    6947    -1675   -4197   -1492      870    -958     -14
    -81     -82    7398      -71    -214   -4075     2206    -424    1262
    -81     -82    7398     1160    2106   -5167     1672     -40     509
    -81     -82    7398     1307    1976   -5942      277     763     -22
    -81     -82    7398    -1410    1422   -8520      639    3170     -64
   -303     305    7314    -4371    1199   -3043    -3239    -714     839
   -303     305    7314    -2337    -947   -4609    -2250   -4121   -1784
   -303     305    7314     -314    2098   -5613    -1679   -3826    -794
   -303     305    7314      394     714   -3915    -3174   -3691    -742
    873    -592    7277     -881      52   -3581    -2915   -2467    -530
    873    -592    7277    -2282    -210   -3542    -1682   -1287     325
    873    -592    7277    -4325    1267   -3919    -1435   -2274     275
    873    -592    7277    -4752    1104   -4062    -1448   -3916    -202
   1795   -1305    6806    -3990    -662   -3378    -1312   -5630    -488
   1795   -1305    6806    -2653   -1418   -3363      120   -5494    -255
   1795   -1305    6806    -1698   -1124   -3575     1414   -3694    1321
   1795   -1305    6806    -3040     950   -3173     1759   -2194    3437
   2977   -1674    5552    -5439    4639   -2968      840   -3348    2143
   2977   -1674    5552    -4176    2980   -3642       27   -3262    2706
   2977   -1674    5552    -3601    2943   -2529     -913   -3710    3473
   2977   -1674    5552    -1338    1576   -2643    -1138   -3287    4675
   3076   -2834    4175     -477     277   -1591     -839   -2132    3972
   3076   -2834    4175     -989    1789    -706     -202   -1371    3220
   3076   -2834    4175    -1682    3662   -1507     -324    -877    3573
   3076   -2834    4175    -3520    4744   -1308    -1267    -116    5236
   2274   -4026    3670    -1547    2397     652    -2716   -1721    7394
   2274   -4026    3670     1237    3955    -402    -1170   -1968    3761
   2274   -4026    3670     3332    5305    -908    -1698    -249    4743
   2274   -4026    3670     2830    6050   -2360    -2676    2780    6132
    536   -4651    2794     2793    4164    -157    -4131    4281    8101
    536   -4651    2794     3486    1132      -7    -3277    5949    6767
