   1807    -713    8061      554    2541   -3189       72     -78     -63
   1870    -734    8049      583    2783   -3176       52     -93     -61
   1870    -734    8049      603    2555   -3150       25     -37     -67
   1870    -734    8049      621    2371   -3182       61     -64     -63
   1870    -734    8049      608    2524   -3200       87     -71     -14
   1852    -736    8062      642    2533   -3225       30     -58     -63
   1852    -736    8062      600    2514   -3164       39     -56     -54
   1852    -736    8062      521    2551   -3214       73     -63     -37
   1852    -736    8062      611    2563   -3194       48     -46     -53
   1823    -724    8051      633    2559   -3193       64     -77     -58
   1823    -724    8051      620    2780   -3194       74     -73     -49
   1823    -724    8051      654    2567   -3184       28     -32     -42
   1823    -724    8051      570    2542   -3186       70     -62     -50
   1806    -745    8059      555    2509   -3196       43     -60     -53
   1806    -745    8059      644    2328   -3183       40     -61     -56
   1806    -745    8059      609    2526   -3197       51     -69     -46
   1806    -745    8059      566    2522   -3130       87     -67     -44
   1793    -695    8053      648    2541   -3241       43     -55     -71
   1793    -695    8053      554    2338   -3235       41     -49     -53
   1793    -695    8053      641    2559   -3171       79     -92     -48
   1793    -695    8053      651    2544   -3141       40     -79     -61
   1835    -742    8044      575    2541   -3115       32     -49     -73
   1835    -742    8044      540    2547   -3190       65     -81     -62
   1835    -742    8044      630    2570   -3155       64     -81     -48
   1835    -742    8044      596    2518   -3216       46     -63     -54
   1830    -721    8040      595    2531   -3148       62     -32     -36
   1830    -721    8040      575    2516   -3212       72     -84     -41
   1830    -721    8040      614    2322   -3227       39     -57     -52
   1830    -721    8040      618    2606   -3168       54     -58     -39
   1811    -717    8081      617    2329   -3198       45     -77     -55
   1811    -717    8081      637    2545   -3215       28     -36     -47
   1811    -717    8081      612    2364   -3227       47     -85     -62
   1811    -717    8081      633    2546   -3207       63     -76     -61
   1810    -714    8042      633    2331   -3183       55     -56     -46
   1810    -714    8042      618    2534   -3179       56     -74     -47
   1810    -714    8042      633    2555   -3145       52     -54     -48
   1810    -714    8042      554    2564   -3190       42     -51     -38
   1816    -699    8012      595    2553   -3175       61    -100     -66
   1816    -699    8012      571    2533   -3242       46     -47     -51
   1816    -699    8012      540    2590   -3177       43     -21     -29
   1816    -699    8012      551    2553   -3172       68     -95     -54
   1813    -741    8032      581    2541   -3206       61     -71     -48
   1813    -741    8032      582    2516   -3186       65     -80     -57
   1813    -741    8032      601    2561   -3211       51     -68     -52
   1813    -741    8032      632    2792   -3153       50     -53     -44
   1830    -722    8019      628    2490   -3246       30     -35     -45
   1830    -722    8019      603    2603   -3193       43     -69     -58
   1830    -722    8019      615    2562   -3158       70     -93     -72
   1830    -722    8019      642    2344   -3206       59     -54     -43
   1837    -723    8073      618    2563   -3191       64     -79     -80
   1837    -723    8073      562    2604   -3183       52     -62     -43
   1837    -723    8073      622    2524   -3199       79     -66     -45
   1837    -723    8073      596    2540   -3241       40     -85     -91
   1826    -708    8043      645    2579   -3194       49     -56     -60
   1826    -708    8043      612    2570   -3154       79     -50     -11
   1826    -708    8043      598    2538   -3167       51     -98     -69
   1826    -708    8043      625    2578   -3207       42     -34     -47
   1845    -748    8050      548    2514   -3105       63     -69     -52
   1845    -748    8050      589    2596   -3205       41     -52     -63
   1845    -748    8050      645    2345   -3214       54     -57     -53
   1845    -748    8050      616    2560   -3200       45     -60     -49
   1855    -709    8076      613    2343   -3214       57     -81     -70
   1855    -709    8076      579    2567   -3174       62     -59     -43
   1855    -709    8076      510    2581   -3147       55     -56     -42
   1855    -709    8076      560    2544   -3163       71     -81     -69
   1837    -726    8104      587    2498   -3208       54     -62     -58
   1837    -726    8104      582    2598   -3192       72     -62     -44
   1837    -726    8104      584    2574   -3181       45     -53     -42
   1837    -726    8104      655    2333   -3233       32     -46     -55
   1832    -731    8036      605    2497   -3231       54     -58     -45
   1832    -731    8036      600    2556   -3228       69     -81     -64
   1832    -731    8036      638    2550   -3177       63     -80     -51
   1832    -731    8036      619    2335   -3208       36     -66     -62
   1836    -724    8036      565    2572   -3164       61     -70     -53
   1836    -724    8036      601    2549   -3227       70     -89     -65
   1836    -724    8036      602    2605   -3167       48     -69     -64
   1836    -724    8036      620    2354   -3205       64     -36     -26
   1836    -735    8053      599    2579   -3166       44     -48     -51
   1836    -735    8053      615    2559   -3201       61     -81     -72
   1836    -735    8053      640    2534   -3186       52     -62     -59
   1836    -735    8053      600    2513   -3252       57     -99     -79
   1848    -713    8066      574    2530   -3191       39     -42     -53
   1848    -713    8066      601    2535   -3154       79     -64     -49
   1848    -713    8066      548    2544   -3153       65     -92     -61
   1848    -713    8066      580    2534   -3133       83     -96     -80
   1834    -710    8038      604    2580   -3197       50     -49     -40
   1834    -710    8038      578    2574   -3155       44     -45     -47
   1834    -710    8038      571    2537   -3225       74     -82     -59
   1834    -710    8038      626    2594   -3180       64     -71     -72
   1832    -686    8028      592    2520   -3145       61     -68     -45
   1832    -686    8028      604    2553   -3159       59     -73     -51
   1832    -686    8028      604    2804   -3221       59     -63     -59
   1832    -686    8028      598    2532   -3183       42     -56     -49
   1813    -733    8054      591    2307   -3185       59     -58     -51
   1813    -733    8054      594    2542   -3217       79     -97     -50
   1813    -733    8054      636    2536   -3194       51     -44     -37
   1813    -733    8054      602    2560   -3173       42     -50     -37
   1803    -710    8090      626    2312   -3196       58     -65     -56
   1803    -710    8090      581    2579   -3181       86     -97     -73
   1803    -710    8090      605    2526   -3224       69     -37     -21
   1803    -710    8090      586    2580   -3196       41     -50     -46
   1816    -748    8028      636    2527   -3197       66     -95     -73
   1816    -748    8028      612    2548   -3256       60     -77     -57
   1816    -748    8028      646    2546   -3196       48     -57     -48
   1816    -748    8028      550    2526   -3119       76     -86     -57
   1837    -720    8075      562    2565   -3216       56     -71     -57
   1837    -720    8075      625    2585   -3174       49     -56     -43
   1837    -720    8075      589    2516   -3226       57     -68     -45
   1837    -720    8075      659    2585   -3176       69     -49     -47
   1827    -723    8077      643    2560   -3182       65     -73     -49
   1827    -723    8077      680    2316   -3216       47     -50     -56
   1827    -723    8077      575    2565   -3176       47     -61     -31
   1827    -723    8077      637    2533   -3184       50     -75     -59
   1849    -699    7998      566    2544   -3263       44     -54     -55
   1849    -699    7998      616    2576   -3147       56     -43     -46
   1849    -699    7998      609    2557   -3161       68     -81     -46
   1849    -699    7998      608    2558   -3202       57     -77     -68
   1845    -686    8058      624    2544   -3212       66     -76     -66
   1845    -686    8058      616    2551   -3233       36     -37     -36
   1845    -686    8058      640    2564   -3215       59     -57     -49
